id,count_9296,count_9701,count_0206,count_0711
23019,10,20,27,39
23021,1,2,2,7
23023,2,4,36,174
23025,2,5,13,27
23027,2,4,14,76
23029,1,2,5,22
23031,64,177,539,870
24000,1,,1,19
24001,2,4,11,35
24003,95,378,498,585
24005,371,199,56,1033
24009,38,166,229,161
24011,62,102,75,84
24013,50,176,569,480
24015,124,133,278,359
24017,58,182,112,210
24019,15,15,22,35
24021,8,90,467,494
24023,6,3,2,4
24025,135,334,456,460
24027,70,317,438,1159
24029,81,132,72,109
24031,125,298,453,1248
24033,91,287,297,284
24035,93,166,220,220
24037,27,58,66,107
24039,17,35,33,32
24041,42,123,100,128
24043,9,29,180,324
24045,23,23,92,91
24047,12,50,50,48
24510,50,48,26,180
25000,2,7,64,2357
25001,124,599,870,799
25003,4,144,350,490
25005,99,311,616,937
25007,41,149,262,176
25009,96,588,980,1300
25011,7,19,66,206
25013,47,246,544,682
25015,21,115,235,417
25017,173,469,1496,2585
25019,274,301,181,210
25021,71,281,890,1612
25023,99,531,1003,1511
25025,28,66,127,236
25027,42,273,955,1630
26000,,,,
26001,,,,
26003,1,,2,
26005,1,2,5,10
26007,,1,,1
26009,1,,,
26011,,,,
26013,1,,,1
26015,,,,3
26017,,,,1
26019,,1,1,1
26021,2,3,7,29
26023,,1,1,1
26025,,1,2,1
26027,,,2,3
26029,,,,1
26031,,,2,
26033,2,2,,1
26035,,,,2
26037,,,,1
26039,,,,
26041,4,1,3,9
26043,,2,1,13
26045,,,3,2
26047,1,1,,
26049,2,1,3,6
26051,,,,2
26053,1,,1,13
26055,1,1,,6
26057,,,1,
26059,2,1,,2
26061,2,,,4
26063,,,1,
26065,4,2,4,4
26067,1,,1,2
26069,2,2,1,1
26071,,,,
26073,1,1,,2
26075,1,,4,2
26077,3,4,5,6
26079,,,,
26081,2,10,14,15
26083,,,,
26085,,,,
26087,,,2,2
26089,,1,,
26091,5,1,3,2
26093,2,1,1,5
26095,,,,
26097,2,1,1,
26099,7,3,5,1
26101,,,,1
26103,8,2,1,4
26105,,1,,2
26107,1,,,2
26109,22,21,44,110
26111,1,1,2,1
26113,,,,
26115,,1,1,
26117,1,,1,1
26119,,,,
26121,5,,4,4
26123,,,,
26125,10,4,14,22
26127,1,,1,
26129,,1,,
